company_name,area,profit,rent,total_price,size,Latlng,parking_count,subway_station_count,bus_station_count,school_count,restaurant_count,bakery_count,movie_theater_count,park_count,convenience_store_count,department_store_count,supermarket_count,parking,subway_station,bus_station,school,restaurant,bakery,movie_theater,park,convenience_store,department_store,supermarket
有一腿真功夫雞腿捲,深水埗,-30700,26000,360000,250,"22.328723,114.159974",5,0,13,7,20,6,0,1,3,0,8,102,,69,67,57,85,,32,157,,99
孖寶美食記 ,香港仔,-80200,57000,220000,200,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
赤葉本目,屯門,117500,44000,400000,120,"22.4062678,113.9630449",1,0,6,5,20,5,0,0,4,0,4,164,,175,256,10,20,,,19,,247
豐味,太子,40500,49000,228000,250,"22.3263733,114.1675304",0,0,12,20,20,10,1,3,6,1,6,,,71,58,50,74,120,13,75,78,48
金泰來泰越美食,沙田,21500,42000,200000,200,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
繼光香香雞,尖沙咀,37220,77000,700000,300,"22.3007765,114.1784593",11,0,4,7,20,4,0,1,5,6,3,51,,176,82,27,67,,121,24,175,4
串燒達人,葵涌,52200,33000,188000,160,"22.3649782,114.1274005",1,0,14,5,12,1,0,1,1,0,1,53,,5,86,0,362,,1289,366,,34
掃街,葵芳,62800,26000,260000,120,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
阿旦小食,北角,64800,40000,420000,200,"22.2891659,114.1937094",6,1,10,6,20,12,0,4,3,3,5,141,204,52,81,18,22,,215,61,160,140
威威車仔麵,葵涌,-21300,19800,100000,220,"22.3683624,114.1332621",3,0,10,1,20,3,0,3,3,0,2,57,,146,32,25,130,,132,135,,276
三滝Mitaki,鰂魚涌,-43100,37000,550000,280,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
榮興隆,九龍灣,30900,51800,250000,500,"22.3248062,114.2104182",9,0,2,5,16,2,0,3,3,0,0,6,,431,9,6,113,,50,2,,
燒賣王,大埔,-49400,30000,450000,150,"22.4472589,114.1680142",5,0,20,14,20,11,0,4,5,0,12,202,,43,52,15,69,,77,86,,119
無休站,美孚,-43270,10000,250000,150,"22.3359358,114.1413885",5,0,6,9,20,5,0,0,2,1,1,112,,201,50,10,104,,,152,352,62
君君小食,旺角,31200,34000,350000,300,"22.3191974,114.17466",8,0,20,11,20,8,0,0,5,0,6,18,,123,77,2,68,,,66,,14
友好嘢食,葵芳,-34000,34000,280000,150,"22.358212,114.127355",6,1,18,4,20,16,1,0,4,2,5,0,206,110,141,0,26,177,,127,68,117
Chicken & Beer,大角咀,-27700,13000,200000,150,"22.3359152,114.1613817",7,0,9,9,20,1,0,2,2,0,3,110,,39,158,79,76,,104,91,,238
日年華美食,將軍澳,12000,33000,500000,800,"22.323384,114.253631",6,0,7,7,15,0,0,2,2,0,2,193,,38,373,0,,,251,328,,358
牛排杯,葵芳,-28000,28000,190000,100,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
靚靚小食,旺角,-35990,33000,200000,100,"22.300639,114.17849",11,0,1,7,20,4,0,1,5,6,5,59,,183,90,35,61,,114,16,183,4
威記美食,灣仔,123800,76000,188000,200,"22.2769572,114.177237",8,0,12,20,20,6,1,2,7,2,7,97,,92,71,57,133,191,141,52,166,120
日進美食,大埔,55000,80000,450000,250,"22.4481024,114.167868",5,0,18,16,20,8,0,3,6,0,12,176,,11,4,51,58,,166,115,,63
蒸點,荃灣,-23500,23500,160000,260,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
肥仔燒,馬鞍山,29600,20000,550000,350,"22.4049282,114.2231302",2,0,4,6,20,1,0,0,3,1,2,5,,317,130,0,25,,,18,544,544
小肥腸粉,太子,22500,22000,210000,300,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
燒龍串燒,佐敦,60350,27000,750000,350,"22.3077121,114.1681623",1,0,11,10,20,9,1,5,7,1,9,214,,16,51,39,1,113,24,81,217,57
妹記士多,沙田,-58050,26000,150000,300,"22.385411,114.205052",4,0,7,8,20,2,0,0,2,0,1,241,,100,11,99,194,,,35,,267
串皇小食,紅磡,51500,10000,1000000,150,"22.3147311,114.1884056",6,0,19,5,20,4,0,0,3,0,4,148,,5,211,0,138,,,108,,142
